symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESZ5,-2,0,0.25,277707856210,277707856245,2,6913.50,6916.75,$325.00,10/30/2025 00:04:17,10/30/2025 00:05:55,1min 37sec
ESZ5,-2,0,0.25,277707856257,277707856337,2,6915.25,6913.75,$(150.00),10/30/2025 02:21:43,10/30/2025 03:11:18,49min 34sec
ESZ5,-2,0,0.25,277707856311,277707856382,2,6906.75,6913.25,$650.00,10/30/2025 02:48:45,10/30/2025 03:11:21,22min 35sec
ESZ5,-2,0,0.25,277707856488,277707856434,1,6902.00,6900.50,$(75.00),10/30/2025 23:40:03,10/30/2025 21:24:11,2h 15min 51sec
ESZ5,-2,0,0.25,277707856528,277707856570,1,6901.75,6899.75,$(100.00),10/30/2025 23:40:23,10/30/2025 23:41:13,50sec
ESZ5,-2,0,0.25,277707856681,277707856644,1,6895.50,6902.00,$325.00,10/30/2025 23:53:44,10/30/2025 23:41:44,11min 59sec
ESZ5,-2,0,0.25,277707856681,277707856610,1,6895.50,6900.75,$262.50,10/30/2025 23:53:44,10/30/2025 23:41:25,12min 18sec
ESZ5,-2,0,0.25,277707856734,277707856695,1,6883.75,6885.25,$75.00,10/31/2025 07:29:22,10/31/2025 07:26:43,2min 38sec
ESZ5,-2,0,0.25,277707856777,277707856746,1,6873.50,6874.50,$50.00,10/31/2025 11:45:44,10/31/2025 11:25:47,19min 56sec
ESZ5,-2,0,0.25,277707856892,277707856794,1,6861.50,6881.50,"$1,000.00",11/03/2025 08:26:02,11/03/2025 01:26:21,6h 59min 41sec
ESZ5,-2,0,0.25,277707856900,277707856822,1,6861.50,6893.50,"$1,600.00",11/03/2025 08:26:02,11/03/2025 02:11:51,6h 14min 10sec
ESZ5,-2,0,0.25,277707856914,277707856872,1,6861.00,6908.75,"$2,387.50",11/03/2025 08:26:03,11/03/2025 07:29:24,56min 39sec
ESZ5,-2,0,0.25,277707856972,277707856929,1,6884.25,6889.50,$262.50,11/03/2025 12:11:06,11/03/2025 11:07:41,1h 3min 24sec
ESZ5,-2,0,0.25,277707857271,277707857289,32,6797.75,6801.25,"$5,600.00",11/04/2025 14:35:13,11/04/2025 14:41:16,6min 3sec
ESZ5,-2,0,0.25,277707857252,277707857289,16,6798.75,6801.25,"$2,000.00",11/04/2025 14:26:41,11/04/2025 14:41:16,14min 34sec
ESZ5,-2,0,0.25,277707857233,277707857289,8,6799.75,6801.25,$600.00,11/04/2025 13:57:29,11/04/2025 14:41:16,43min 47sec
ESZ5,-2,0,0.25,277707857221,277707857289,4,6799.75,6801.25,$300.00,11/04/2025 12:45:48,11/04/2025 14:41:16,1h 55min 27sec
