ticker	analysis_period_start	analysis_period_end	analysis_buy	analysis_sell	analysis_return	analysis_trades	analysis_eval_metric	evaluation_period_start	evaluation_period_end	evaluation_return	evaluation_trades	evaluation_data_good	analysis_avg_trade_duration	current_price_below_lb	percent_below_lb	current_price_below_ub	percent_below_ub	current_price_between_bounds	num_days_below_lb	num_days_below_ub	trend_slope	norm_trend_slope	cyclicality	profit_score	profit_rank	swing_probability	current_price_below_lb_weight	percent_below_lb_weight	num_days_below_lb_weight	cyclicality_weight	norm_trend_slope_weight
CLDX	2024-08-22	2025-08-21	20.325947368421055	21.380995368421054	0.6639238463487764	10	0.3489971142445065	2025-08-22	2025-08-22	0.0	0	False	10.8	False	-0.08334433819359736	False	-0.02988657078719225	False	0	0	-0.04437174897226038	-0.0017925390668651698	0.04430185773769926	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CLOU	2024-08-22	2025-08-21	22.40426315789474	23.36063157894737	0.24317638624533777	7	0.1053083342320767	2025-08-22	2025-08-22	0.0	0	False	27.571428571428573	True	0.02964896248599321	True	0.06937447617674372	False	10	16	0.0034762598319907035	0.00015413631486629713	0.04884457123334028	2.7255154639175254	15.0	high	1.0	0.25	0.0	0.75	1.75
CPRT	2024-08-22	2025-08-21	51.98926315789474	56.36651157894737	0.26303327853252756	5	0.08658519118951724	2025-08-22	2025-08-22	0.0	0	False	30.8	True	0.08288755977954969	True	0.1541076666910808	False	58	61	-0.01519393300272147	-0.0002788463232525637	0.055089772644639594	2.498711340206186	23.0	medium	1.0	0.25	0.0	0.75	1.75
CRDF	2024-08-22	2025-08-21	2.394757894736842	4.338568421052631	4.64054227073174	4	1.1601355676829348	2025-08-22	2025-08-22	0.0	0	False	45.0	True	0.05627203277333838	True	0.4790908473326152	False	2	20	0.0013332825454117213	0.00040959292537909596	0.0766201020450304	3.243556701030928	2.0	very_high	1.0	0.25	0.0	0.75	1.75
CRMT	2024-08-22	2025-08-21	47.00736842105263	51.14006315789474	0.7045555622387316	8	0.3309085504024508	2025-08-22	2025-08-22	0.0	0	False	27.75	True	0.04951071500548628	True	0.12632098513350126	False	6	17	0.012663667685785395	0.00026252039750043407	0.07769096437737581	3.1146907216494846	4.0	very_high	1.0	0.25	0.0	0.75	1.75
CRTO	2024-08-22	2025-08-21	23.568189473684207	24.295	0.21442449717668133	7	0.09285723406320198	2025-08-22	2025-08-22	0.0	0	False	4.714285714285714	False	-0.01450304558597734	True	0.01584688207450099	True	0	4	-0.06322482197918325	-0.0018199441141118532	0.04614383687477182	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CYCU	2024-08-22	2025-08-21	0.269208	50.0	-0.00021678206131447997	1	-0.0005419551532861999	2025-08-22	2025-08-22	0.0	0	False	79.0	True	0.0368042554456035	True	0.994814	False	0	132	-0.04571538249003824	-0.009474744501678024	0.015733066057249893	1.277061855670103	53.0	very_low	1.0	0.25	0.0	0.75	1.75
CYN	2024-08-22	2025-08-21	3.7695999999999996	4.54104	0.45452943611292196	2	-0.02757183367359506	2025-08-22	2025-08-22	0.0	0	False	3.0	False	-0.44047113752122247	False	-0.19576132339728344	False	0	0	-2.260986653789241	-0.010104496918732435	0.020413779683246154	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
DAKT	2024-08-22	2025-08-21	11.95458947368421	12.61802	0.5445980825024639	8	0.2557813346334516	2025-08-22	2025-08-22	0.0	0	False	2.875	False	-0.3542915911616416	False	-0.2830856188213366	False	0	0	0.004222527544933509	0.00028631593014771627	0.05900774288865305	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
DENN	2024-08-22	2025-08-21	4.1150218947368415	4.304418947368421	0.5030437825267187	9	0.25152189126335933	2025-08-22	2025-08-22	0.0	0	False	15.11111111111111	False	-0.027941067679425266	True	0.017288964730981394	True	0	1	-0.00969586101429552	-0.0018928839679951584	0.0520358483112779	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
DNTH	2024-08-22	2025-08-21	18.86475789473684	22.944147368421053	2.2605138645904446	6	0.8762374834070805	2025-08-22	2025-08-22	0.0	0	False	21.166666666666668	False	-0.25366040380503446	False	-0.030763951270224098	False	0	0	-0.027909057270187634	-0.0012389938187686153	0.0841893228560898	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
DUO	2024-08-22	2025-08-21	8.161078736842105	21.732384210526316	0.139178963559359	3	0.018646445444565438	2025-08-22	2025-08-22	0.0	0	False	75.0	True	0.8333553634447293	True	0.9374205799591345	False	116	174	-0.049620460272702255	-0.005807281196219579	0.020269633132420813	1.443298969072165	52.0	very_low	1.0	0.25	0.0	0.75	1.75
ETHZ	2024-08-22	2025-08-21	1.8032648421052633	2.9395368421052734	6.147253844981512	4	1.5368134612453783	2025-08-22	2025-08-22	0.0	0	False	65.0	False	-1.6673841177896276	False	-0.6363122009911993	False	0	0	-0.00019190526612151193	-9.979225238795604e-05	0.022038487317707897	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
EVAX	2024-08-22	2025-08-21	2.5561052631578947	3.3131273684210525	1.188129889367083	3	0.15917922217959446	2025-08-22	2025-08-22	0.0	0	False	65.33333333333333	False	-0.21325206934892726	True	0.06396595870144631	True	0	2	-0.039639141339743215	-0.0069367150221957075	0.036045774639342866	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
EXTR	2024-08-22	2025-08-21	15.290024210526315	16.90543157894737	0.6574569101771839	5	0.216421407147237	2025-08-22	2025-08-22	0.0	0	False	41.0	False	-0.30542631752398874	False	-0.18068562206105052	False	0	0	0.00582385524988687	0.0003663273936482007	0.04802177924682276	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
FFIC	2024-08-22	2025-08-21	14.029473684210526	14.382505263157896	0.22224716892348972	13	0.12978675776421866	2025-08-22	2025-08-22	0.0	0	False	17.307692307692307	True	0.09618847539015606	True	0.11837334539477062	False	118	119	-0.011646908455656607	-0.000843489157961807	0.05467380858446381	2.283505154639175	29.0	medium	1.0	0.25	0.0	0.75	1.75
FLEX	2024-08-22	2025-08-21	39.16343157894737	42.440189473684214	0.6243412001796516	6	0.24201185872040265	2025-08-22	2025-08-22	0.0	0	False	37.0	False	-0.26163612349436605	False	-0.1642266590406609	False	0	0	0.043756949579911227	0.0011078277564348427	0.04357150013776519	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
FLNC	2024-08-22	2025-08-21	5.075978947368421	5.778757894736842	0.4790785425507613	3	0.06418435429377789	2025-08-22	2025-08-22	0.0	0	False	32.0	False	-0.34752331932860236	False	-0.18364536542181717	False	0	0	-0.0536635638118353	-0.004510920918152583	0.037671151988675246	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
FOX	2024-08-22	2025-08-21	50.29	51.23315789473684	0.3237092768204368	15	0.19833721300659699	2025-08-22	2025-08-22	0.0	0	False	18.4	False	-0.0733744283157685	False	-0.053614538282156864	False	0	0	0.041105597157771484	0.0008838436286965988	0.05334731159068508	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
FSV	2024-08-22	2025-08-21	173.1493789473684	175.58482105263155	0.2521549898992439	16	0.15759686868702744	2025-08-22	2025-08-22	0.0	0	False	5.5625	False	-0.13970954559406612	False	-0.12390125078549548	False	0	0	-0.006857268826952394	-3.8046639431641094e-05	0.06964104460694034	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
FTRE	2024-08-22	2025-08-21	5.541346105263157	6.283894736842105	0.8826114507031055	5	0.290537690255551	2025-08-22	2025-08-22	0.0	0	False	18.6	False	-0.3976748343951694	False	-0.2325158718193545	False	0	0	-0.05795651799023962	-0.004485979881431065	0.03675075713459186	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
FWONK	2024-08-22	2025-08-21	90.46994736842106	92.72526315789474	0.24979903037963558	9	0.12489951518981779	2025-08-22	2025-08-22	0.0	0	False	19.555555555555557	False	-0.12048257955971417	False	-0.09322957463474436	False	0	0	0.06612627150728814	0.0007318328579168833	0.07279865074332416	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
GCTK	2024-08-22	2025-08-21	5.1888	6.46316	0.6277672112668933	3	0.08410485864685102	2025-08-22	2025-08-22	0.0	0	False	2.3333333333333335	False	-0.05033919210607473	True	0.15675923232598296	True	0	15	-8.36713153941079	-0.012286522335085053	0.016705679651226227	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
GFS	2024-08-22	2025-08-21	36.585136842105264	39.56092631578947	0.4367308793964395	7	0.1891277443795421	2025-08-22	2025-08-22	0.0	0	False	16.714285714285715	True	0.10892775553373989	True	0.17595458357635174	False	13	16	-0.018770531384407405	-0.0004760457415331022	0.08056424358146874	2.65979381443299	16.0	high	1.0	0.25	0.0	0.75	1.75
GLNG	2024-08-22	2025-08-21	40.71	41.61227368421053	0.5205745934088655	19	0.3414325898369692	2025-08-22	2025-08-22	0.0	0	False	13.842105263157896	False	-0.06263817243920405	False	-0.03959712291363419	False	0	0	0.014800104297860604	0.0003812025370051307	0.08663038247113256	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
GLPG	2024-08-22	2025-08-21	26.198208421052634	27.42797894736842	0.38140141224041857	7	0.16516713656678134	2025-08-22	2025-08-22	0.0	0	False	17.285714285714285	False	-0.21840392621464108	False	-0.16377513856384848	False	0	0	0.004626425076656687	0.000167304090538587	0.05619741574995634	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
GOOGL	2024-08-22	2025-08-21	170.02584210526317	181.09216842105263	0.37332198714520937	5	0.12288998491961217	2025-08-22	2025-08-22	0.0	0	False	42.2	False	-0.17482141259641332	False	-0.10302947798143614	False	0	0	0.039620345007746166	0.00022713071836289413	0.06179569148512268	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
GPIX	2024-08-22	2025-08-21	49.4524732631579	49.845814315789475	0.10038347657927682	12	0.05691615616034985	2025-08-22	2025-08-22	0.0	0	False	18.75	False	-0.02037363695604503	False	-0.012321710310909138	False	0	0	-0.000717865905616062	-1.4734910551052799e-05	0.04726947279943277	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
GTLB	2024-08-22	2025-08-21	41.872463157894735	44.079	0.5921104975707872	9	0.2960552487853936	2025-08-22	2025-08-22	0.0	0	False	4.888888888888889	False	-0.05510869598007386	False	-0.002291340547653057	False	0	0	-0.04272299327903506	-0.0008052890458074033	0.06365276612844159	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
HIT	2024-08-22	2025-08-21	5.06	5.724073684210526	0.36109984624465663	6	0.13997225387043932	2025-08-22	2025-08-22	0.0	0	False	31.0	True	0.32411067193675885	True	0.40252341449869156	False	112	112	-0.021425049718767797	-0.008157507112678241	0.04337997037341485	1.5863402061855671	44.0	very_low	1.0	0.25	0.0	0.75	1.75
HOLO	2024-08-22	2025-08-21	4.2296	386.97280000000023	0.046491130587115626	1	-0.023245565293557813	2025-08-22	2025-08-22	0.0	0	False	69.0	False	-0.04501607717041809	True	0.9885780085835489	True	0	246	-0.7002775298114831	-0.009161077756553617	0.02356997378757212	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
